ID;Origen;Modulo;Capacidad;Fuente;Condicion_o_solicitud;Resultado_esperado;Casos_E2E;Estado_objetivo;Evidencia_objetivo
DOC-03;B;Documentos y adjuntos;Consulta y reimpresión;"src/App.jsx:523-524;1699-1700;3522-3523";se necesita una copia documental de una orden finalizada;"Los documentos pueden volver a generarse desde Órdenes; el código también prevé Reimprimir para tarjetas entregadas. La firma es un espacio impreso, no un módulo evidenciado de firma electrónica.";E2E-23;Pendiente de verificar;
DOC-04;B;Documentos y adjuntos;Ciclo de archivos múltiples;"src/App.jsx:126;416-443;1435;4315";se adjuntan referencias de cliente o resultados de taller;"Se conservan nombre, enlace, tamaño/tipo y fecha en el registro; hay subida múltiple, apertura y retiro de la lista donde sea editable, con modo lectura en taller. Retirar de lista no se debe describir como borrado físico probado.";E2E-12;Pendiente de verificar;
AR-01;B;Cobranza;AR vinculado al aprobar;"src/App.jsx:114;124;1063-1114;1565-1571";se aprueba una cotización comercial o se ingresa orden heredada;"Se genera referencia INVCNC-NNNNNNN con cliente, orden, total, impuesto, condiciones, emisión, pagos y saldo; inicia en borrador y no nace para TI.";E2E-07;Pendiente de verificar;
AR-02;B;Cobranza;Alta de factura/cuenta por cobrar;"src/App.jsx:2137;2152-2163;2589-2595";se usa Nueva factura;"Se selecciona orden, se propone cliente y valores de RFQ, se capturan vencimiento, abono inicial y número de factura fiscal; el alta guarda la cuenta vinculada. Esta función no evidencia emisión fiscal electrónica.";E2E-25;Pendiente de verificar;
AR-03;B;Cobranza;Estados y activación;"src/App.jsx:2143-2149;2277-2281";se consulta un AR borrador y la orden ya está Lista/Entregada;"Se permite activarlo como pendiente y calcular vencimiento; el pago completo se reconoce como pagado. Se distinguen borrador, pendiente y pagado.";E2E-24;Pendiente de verificar;
AR-04;B;Cobranza;Reglas de plazo;"src/App.jsx:49;2279;3307-3312";se activa una CxC;"Contado vence el mismo día; 15 días, 30 días y crédito usan 15, 30 y 45 días calendario respectivamente en la base; queda visible la fecha de vencimiento.";E2E-24;Pendiente de verificar;
AR-05;B;Cobranza;Pagos y anticipos;"src/App.jsx:2139;2166-2177;2387-2464;2539-2576";se registra un movimiento desde historial o desde Pago;"Se guardan tipo anticipo/pago, fecha, importe MXN, método y notas; el historial permite registrar cuenta destino, referencia y TC. Se recalculan total cobrado, saldo y estado según la suma aplicable.";E2E-24;Pendiente de verificar;
AR-06;B;Cobranza;Anticipo antes de terminación;"src/App.jsx:2430-2463;2542-2544;3303-3313";una orden todavía tiene AR borrador;"Se puede registrar un anticipo desde el historial; se conserva el pago cuando la orden llega a Lista, con saldo residual disponible para cobrar.";E2E-24;Pendiente de verificar;
AR-07;B;Cobranza;Liquidación y resumen;"src/App.jsx:121-123;2143-2149;2166-2177;2407-2428";se completa el monto adeudado;"El saldo queda en cero y el documento se reconoce pagado; historial muestra total, cobrado, restante, movimientos y progreso de pago. No se infiere un monedero por excedente en esta base.";E2E-24;Pendiente de verificar;
AR-08;B;Cobranza;Edición de pago;"src/App.jsx:2073-2124;2420-2424";se abre Editar en un movimiento no heredado;"Se puede modificar fecha, monto, método, cuenta, referencia, TC y notas; cancelar conserva el movimiento. El objetivo debe reconciliar saldo y agregados con la edición persistida.";E2E-25;Pendiente de verificar;
AR-09;B;Cobranza;Movimientos heredados;"src/App.jsx:121;2077;2096;2392-2395";el AR contiene un abono inicial antiguo;"Se representa ese anticipo en el historial aunque no sea un pago estructurado; debe computarse una sola vez en la equivalencia objetivo y distinguirse de los movimientos editables.";E2E-24;Pendiente de verificar;
AR-10;B;Cobranza;Listado y métricas filtradas;"src/App.jsx:2182-2193;2210-2295";se consulta CxC con estado, cliente y período;Se muestran factura, orden, cliente, emisión, vencimiento, total, cobrado, saldo, estado, totales facturados/cobrados/pendientes/vencidos/borrador y acción de limpiar.;E2E-25;Pendiente de verificar;
AR-11;B;Cobranza;Navegar a la orden;"src/App.jsx:2270;2473-2537";se selecciona el folio de orden desde CxC;Se abre su detalle con cliente, estado, área, fechas, horas, líneas, notas y última sesión de trabajo.;E2E-25;Pendiente de verificar;
AR-12;B;Cobranza;Antigüedad de saldos;"src/App.jsx:2195-2204;2297-2323";se abre Antigüedad;"Se agrupan saldos pendientes en al corriente, 1-30, 31-60, 61-90 y más de 90 días; se listan documento, cliente, vencimiento y días restantes/vencidos. Es una pestaña de CxC en el ZIP.";E2E-26;Pendiente de verificar;
AR-13;B;Cobranza;Alertas de vencimiento;"src/App.jsx:2263-2273;2308-2320";hay una cuenta vencida o próxima a vencer;"Se destaca vencimiento pasado y proximidad de tres días; documentos pagados no se tratan como deuda vencida.";E2E-26;Pendiente de verificar;
AR-14;B;Cobranza;Estado de cuenta por cliente;src/App.jsx:2335-2384;se elige un cliente en Estado de cuenta;Se muestran todas sus facturas, órdenes, fechas, valores, pagos, saldos y estados con totales históricos. Esta vista base no prueba exportación ni envío del estado de cuenta.;E2E-27;Pendiente de verificar;
AR-15;B;Cobranza;Cobros agrupados por cuenta;"src/App.jsx:2136;2206;2324-2332";los pagos tienen cuenta destino;"La pestaña de Antigüedad suma los pagos por cuenta bancaria y muestra nombre/banco e importe; no equivale a saldo bancario disponible ni flujo neto de ingresos y egresos.";E2E-28;Pendiente de verificar;
AR-16;B;Cobranza;Eliminación de registro de cobro;"src/App.jsx:2180;2579-2586";se solicita eliminar un AR;"Se pide confirmación y se identifica que afecta al registro financiero y sus pagos, conservando la orden. Registrar como capacidad histórica; la versión mejorada puede ofrecer anulación trazable equivalente.";E2E-16;Pendiente de verificar;
GAS-01;B;Gastos y CxP;Alta manual;"src/App.jsx:2620-2635;2842-2896";se registra un gasto;"Se capturan fecha, tipo fijo/variable, concepto, categoría, proveedor, factura/folio, método de pago, moneda, subtotal, IVA, orden opcional, estado y vencimiento; concepto/subtotal son requeridos.";E2E-29;Pendiente de verificar;
GAS-02;B;Gastos y CxP;Edición de gasto;"src/App.jsx:2625-2634;2822;2831-2896";se abre Editar;"Se recuperan los datos y comprobante existentes, se pueden corregir campos, recalcular importes y guardar; cancelar no confirma cambios.";E2E-29;Pendiente de verificar;
GAS-03;B;Gastos y CxP;Impuesto y moneda;"src/App.jsx:2623;2627;2856-2875";se registra gasto en MXN/USD con o sin IVA;"Se ofrece sin IVA, 8% y 16% por gasto; se muestran IVA, total en moneda y equivalente MXN usando TC cuando es USD.";E2E-29;Pendiente de verificar;
GAS-04;B;Gastos y CxP;Vinculación a orden;"src/App.jsx:2877-2887;2850";un gasto corresponde a un trabajo;Se elige la orden en desplegable que incluye folio, cliente y estado, o se deja sin vinculación. El proveedor es un campo del gasto, no un catálogo autónomo evidenciado.;E2E-29;Pendiente de verificar;
GAS-05;B;Gastos y CxP;Pago y vencimiento de CxP;"src/App.jsx:2807-2824;2888-2890";se consulta un gasto pendiente;"Se puede marcar Pagado, ver estado y distinguir vencimiento pasado; se mantiene fecha límite de pago y método.";E2E-29;Pendiente de verificar;
GAS-06;B;Gastos y CxP;Filtros de gastos;"src/App.jsx:2607-2617;2777-2828";se combinan criterios de consulta;"Se busca concepto/proveedor y se filtra categoría, estado, proveedor, con/sin IVA y períodos; la tabla se ordena por fecha y muestra resultados y suma.";E2E-29;Pendiente de verificar;
GAS-07;B;Gastos y CxP;Métricas y gráfico interactivo;"src/App.jsx:2677-2717;2742-2774";se consulta gasto mensual o un filtro;"Se muestran gasto total, fijos, variables, pendiente de pago y distribución por categoría; se puede ocultar/mostrar gráfico y pulsar una categoría para filtrar.";E2E-29;Pendiente de verificar;
GAS-08;C;Gastos y CxP;Escaneo de comprobante;"src/App.jsx:2637-2672;2720-2733;2832-2840";se carga un comprobante y responde el servicio de lectura;"Se precargan proveedor, fecha, subtotal, IVA, folio, método, concepto y notas; la persona revisa y edita antes de guardar. El ZIP solo contiene el cliente del servicio, no su implementación; disponibilidad real pendiente de prueba.";E2E-30;Pendiente de verificar;
GAS-09;B;Gastos y CxP;Adjunto y revisión del comprobante;"src/App.jsx:2629-2633;2814;2832-2840;2893-2896";existe un comprobante capturado;"Se muestra previsualización, opción de volver a escanear y acceso al comprobante guardado; se mantiene captura manual como vía independiente.";E2E-30;Pendiente de verificar;
CFG-01;B;Configuración;Datos empresariales;"src/App.jsx:77-83;2988-2989;3101-3108;491-523";se actualiza la empresa y se guarda;"Se conservan nombre, RFC, dirección, teléfono, email y texto de nota de entrega; se reflejan en documentos emitidos después del cambio.";E2E-31;Pendiente de verificar;
CFG-02;B;Configuración;TC e IVA global;"src/App.jsx:3004-3029;3262";se configura TC, fecha e IVA;"Se permiten TC MXN/USD y fecha, tasa IVA porcentual y accesos 8%/16%. Verificar alcance efectivo en cada módulo objetivo; la existencia del ajuste no prueba por sí sola aplicación universal en el ZIP.";E2E-02;Pendiente de verificar;
CFG-03;B;Configuración;Cuentas de cobro;"src/App.jsx:3033-3049;2109-2116";se agrega, edita o retira una cuenta;Se configura nombre, banco y tipo transferencia/efectivo/cheque/tarjeta para seleccionar en pagos. La cuenta es distinta de la referencia del movimiento.;E2E-28;Pendiente de verificar;
CFG-04;B;Configuración;Continuidad de folios;"src/App.jsx:3051;3066-3099;101-113";se migra un negocio con folios usados;"Se consulta mes, último generado y siguiente ID y se ajusta el último número usado; el siguiente folio conserva continuidad.";E2E-14;Pendiente de verificar;
CFG-05;B;Configuración;Usuarios de taller;"src/App.jsx:2998-2999;3149-3166";se da de alta o retira un operador;"Se registran nombre, PIN y rol operador, se evita duplicar PIN registrado y se puede eliminar del catálogo; no hay en el ZIP una matriz configurable de vendedor/gerente/contador.";E2E-31;Pendiente de verificar;
CFG-06;B;Configuración;Áreas y procesos;"src/App.jsx:2992-2997;3168-3210";se administra la estructura del taller;"Se agregan, renombran y retiran áreas, colores y procesos; se marca área externa; esos catálogos alimentan cotizaciones y producción.";E2E-31;Pendiente de verificar;
CFG-07;B;Configuración;Etiquetas comerciales;src/App.jsx:3110-3128;se configura clasificación de RFQ;"Se agregan, renombran y retiran etiquetas con color de texto/fondo y previsualización; se pueden aplicar varias por RFQ.";E2E-06;Pendiente de verificar;
CFG-08;B;Configuración;Tiers comerciales;"src/App.jsx:3130-3147;361-387";se configuran niveles de volumen;"Se agregan, editan o retiran tiers con nombre, consumo mínimo de tres meses, descuento y color; se conserva al menos un nivel.";E2E-04;Pendiente de verificar;
CFG-09;B;Configuración;Categorías de gasto;"src/App.jsx:2990-2991;3212-3219";se administra el catálogo;Se agregan y retiran categorías que luego se ofrecen al capturar o filtrar gastos.;E2E-29;Pendiente de verificar;
CFG-10;C;Configuración;Tarifas de cotizador;"src/App.jsx:3221-3250;320-358";se accede al bloque de tarifas;"Se editan tarifas de máquina/setup, gases/consumo, productividad de doblado, longitud máxima, segundo operario, fresas/vida útil y mano de obra/soldadura/consumibles/acabados. El bloque del ZIP depende de que haya historial; no asumir que todos los parámetros expuestos intervienen en la fórmula.";E2E-11;Pendiente de verificar;
CFG-11;B;Configuración;Catálogos iniciales de referencia;"src/App.jsx:31-44;77-83";se evalúa el alcance de máquinas y estaciones;"Se reconocen Láser Fibra, Láser CO2, Dobladora, CNC Router y Fabricación, con capacidad/color en datos; áreas por defecto Sheet Metal, Taller, Acabados y EXT. No se evidencia un formulario completo de CRUD de máquinas.";E2E-31;Pendiente de verificar;
CFG-12;B;Configuración;Consolidación de datos heredados;"src/App.jsx:2907-2980;3052-3064";un administrador usa la herramienta de sincronización de datos;La interfaz presenta conteos y confirmación, guarda registros actuales/configuración y contempla crear AR borradores faltantes para órdenes comerciales elegibles. La migración es una capacidad de soporte, no un paso diario ni una acción a ejecutar durante esta auditoría.;E2E-14;Pendiente de verificar;
CFG-13;B;Configuración;Consulta de acciones recientes;"src/App.jsx:3252-3258;3315-3316;3459-3460";hay movimientos en la bitácora de sesión;"Se ven momento, usuario, acción y orden de las últimas 60 entradas presentadas; persistencia histórica durable se valida aparte si la versión objetivo la ofrece.";E2E-21;Pendiente de verificar;
TRA-01;B;Funciones transversales;Períodos de consulta;"src/App.jsx:531-560;1218;1655;2246;2793";un módulo ofrece filtro de período;"Se pueden seleccionar todo, hoy, semana actual/anterior, mes actual/anterior, trimestre actual/anterior y año; se informa el período aplicado y se puede limpiar.";E2E-06;Pendiente de verificar;
TRA-02;B;Funciones transversales;Relación entre entidades;"src/App.jsx:979;1063-1114;1516-1517;2137;2620;3432-3460";se sigue un trabajo de extremo a extremo;"Se conserva relación cliente → RFQ/líneas → orden/partes/procesos → sesiones/archivos → AR/pagos; gastos pueden vincularse a la orden y catálogos alimentan formularios.";E2E-07;Pendiente de verificar;
TRA-03;B;Funciones transversales;Cancelación de formularios y consulta vacía;"src/App.jsx:413;1437;1964;2573;2894";se cancela un modal sin guardar o una búsqueda no tiene resultados;"Se vuelve al contexto previo y se muestra una situación sin resultados comprensible; distinguir Cancelar formulario de Cancelar orden, que cambia el negocio.";E2E-03;Pendiente de verificar;
OBS-01;OBS;Dashboard;Navegación desde indicadores;Observaciones:2-3;Cada KPI, gráfico o segmento con datos abre el listado o proceso que explica su cifra, con filtro visible y contexto conservado.;"Con dos grupos de cartera, pulsar 1-30 días muestra solo documentos/clientes con deuda vencida entre 1 y 30 días; volver conserva el contexto. Interpretar ese tramo como antigüedad, no como mes calendario.";E2E-26;Pendiente de verificar;
OBS-02;OBS;Comercial;Búsqueda de empresa y contacto;Observaciones:6;Ofrecer búsqueda y selección de clientes/contactos vinculados y alta rápida cuando no existan, guardando en Clientes sin abandonar la oportunidad.;"Buscar una empresa existente, elegir su contacto y luego crear otra desde el mismo formulario; la nueva ficha queda disponible en Clientes y seleccionada, sin duplicar la empresa al cambiar contacto.";E2E-34;Pendiente de verificar;
OBS-03;OBS;Comercial;Seguimiento del prospecto;Observaciones:7;Registrar si el prospecto ya fue contactado, última interacción, siguiente acción concreta, responsable y fecha de próximo seguimiento.;"Crear prospecto no contactado con acción de llamada; registrar contacto y nueva acción; ambas situaciones quedan claras y el seguimiento pendiente se puede consultar.";E2E-34;Pendiente de verificar;
OBS-04;OBS;Comercial;Necesidad completa y varias solicitudes;Observaciones:8-10;La oportunidad describe qué necesita el cliente y permite varias solicitudes/partidas con cantidades, material, área, equipo o estación, procesos, condición interna y seguimiento.;"Crear dos solicitudes de distinta área en una oportunidad; conservar descripción y asignación técnica de cada una y los campos generales al guardar/reabrir.";E2E-34;Pendiente de verificar;
OBS-05;OBS;Comercial a taller;Distribución por estaciones y procesos;"Observaciones:11;55";"Al generar la orden, distribuir sus partidas a las áreas/subáreas/estaciones correspondientes con procesos ordenados; conservar un único vínculo al pedido original.";"Una orden con corte y carpintería aparece en ambas colas con solo las actividades relevantes y permite volver a su detalle general; no duplica la venta ni la orden.";E2E-35;Pendiente de verificar;
OBS-06;OBS;Archivos;Planos múltiples utilizables en taller;Observaciones:12;Permitir de uno a varios adjuntos por solicitud/orden, visualización de formatos compatibles y descarga para los operadores asignados.;"Adjuntar dos planos, abrir la orden desde taller, consultar ambos y descargar una copia legible; los cambios de archivo se identifican en el contexto de la orden.";E2E-35;Pendiente de verificar;
OBS-07;OBS;Cotizaciones;Cotizaciones integradas al pipeline;"Observaciones:13;34";Disponer de sección de cotizaciones vinculadas al pipeline y crear/editar desde modal en la misma ventana, manteniendo cliente, oportunidad y contexto.;Desde oportunidad crear una cotización, abrir su calculadora, guardar y verla tanto en la oportunidad como en la sección Cotizaciones sin recapturar datos.;E2E-34;Pendiente de verificar;
OBS-08;OBS;Planeación y materiales;Desglose de lo solicitado;Observaciones:16-19;Cada trabajo programable explica qué se solicita, descripción, materiales requeridos y desglose del estado por partida/proceso.;"Abrir una partida desde Planeación y reconocer pedido, material, cantidad, proceso actual, avance y pendientes; mostrar explícitamente datos aún por definir.";E2E-35;Pendiente de verificar;
OBS-09;OBS;Operadores;Asignación inequívoca del trabajo;"Observaciones:20-22;65-67";"Mostrar a cada operador sus trabajos y procesos, identificando centro, área, estación y responsable; contrastar identidad y asignación al iniciar o registrar avance.";"Un operador de corte puede actuar sobre su actividad; otro sin asignación no puede apropiársela; ambos identifican claramente qué deben hacer y quién atiende los otros procesos.";E2E-20, E2E-35;Pendiente de verificar;
OBS-10;OBS;Producción;Parciales de producción y entrega;Observaciones:23;Soportar avances parciales acumulados por parte/proceso. Separar el concepto de entrega parcial al cliente y habilitarlo si esa es la acepción confirmada de la observación.;"Para meta 10, registrar 4 y luego 6 conserva el acumulado sin cerrar anticipadamente; si se activa entrega parcial, documentar 4 entregadas/6 pendientes independientemente del avance de fabricación.";E2E-37;Pendiente de verificar;
OBS-11;OBS;Clientes;Historial comercial y operativo navegable;"Observaciones:25-27;33";"La ficha del cliente reúne cotizaciones anteriores, órdenes, entregas y notas generadas por operadores, con enlaces a sus registros originales; las notas aparecen automáticamente vinculadas.";"Abrir cliente, entrar a una cotización histórica y su orden; guardar una nota de sesión y comprobar que se consulta en el historial sin volver a escribirla.";E2E-36;Pendiente de verificar;
OBS-12;OBS;Inventario;Descuento automático de existencias;Observaciones:28-29;"Al confirmar finalización de producción, registrar consumo de material asociado a orden/partida y actualizar existencias; tratar reservas, consumos previos y parciales sin descontar dos veces.";"Con stock 100 y consumo real 12, finalizar deja 88 y un movimiento trazable; repetir confirmación no vuelve a descontar; si ya se consumieron 5, al final se descuentan solo los 7 restantes. Esto es requisito adicional al ZIP.";E2E-38;Pendiente de verificar;
OBS-13;OBS;Entregas;Conformidad fiel al pedido;"Observaciones:31-32;75";Generar nota/conformidad imprimible y descargable que refleje exactamente lo solicitado y lo efectivamente entregado, incluyendo cliente, orden, conceptos, cantidades y responsable.;"Con pedido de dos partidas, la conformidad muestra ambas y sus cantidades; imprimir/guardar permite recuperar el documento; las diferencias y pendientes de una entrega parcial se distinguen.";E2E-23, E2E-37;Pendiente de verificar;
OBS-14;OBS;Configuración de taller;Áreas, subáreas y procesos configurables;"Observaciones:35-52;55;103";"Configurar Metal mecánica: Corte láser, Press Brake, Soldadura, Ensamblado y pintura; Fabricación digital: CNC Router, Láser CO2, Grabado, Impresiones, Escaneo, Carpintería; Acabados: Preparado; Externo. Permitir varias operaciones y extensión del catálogo.";Crear/editar áreas y subáreas y comprobar que se ofrecen en Comercial, Planeación y Producción. La clasificación subárea/proceso/estación debe acordarse sin perder los nombres ni crear duplicados semánticos.;E2E-31;Pendiente de verificar;
OBS-15;OBS;Órdenes;Origen comercial y tablero de órdenes;"Observaciones:56;59-60";"La creación ordinaria de OP nace en Comercial, con indicador interna/comercial. Órdenes se centra en tablero, detalles, acceso al proceso y seguimiento; la repetición también regresa a Comercial.";"Aprobar oportunidad produce una OP y la muestra en el tablero; no se ofrece alta productiva ordinaria desconectada de Comercial; una orden interna queda señalizada y sin venta. El ingreso histórico requiere decisión explícita como excepción de migración.";E2E-36;Pendiente de verificar;
OBS-16;OBS;Órdenes;Acciones y estados consistentes;Observaciones:57-58;"Pausar, reanudar, completar y cancelar producen sus efectos reales, están agrupadas en menú contextual y actualizan filtros/conteos; Programada y En proceso tienen etiquetas distintas.";"Programar, iniciar, pausar y reanudar una orden cambia su pertenencia a filtros; cancelar conserva motivo/historial y la retira de activos; completar exige regla de finalización y no equivale a cancelar.";E2E-36;Pendiente de verificar;
OBS-17;OBS;Órdenes;Comentarios por orden;Observaciones:60;"Cada detalle de orden dispone de comentarios con autor, fecha y contexto; se conserva relación con cliente y proceso sin confundir comentario libre con avance o entrega.";"Añadir comentario a una orden y recuperarlo al abrirla desde Comercial, Órdenes y Producción según permisos; otra orden no recibe ese comentario.";E2E-36;Pendiente de verificar;
OBS-18;OBS;Planeación;Programar partida comprensible;Observaciones:62-63;Conservar la operación de programar pero convertirla en acción contextual desde la partida, con descripción de qué se programa, recurso, horario, duración y resultado, o sustituir el formulario por calendario equivalente.;"Una persona programa sin introducir IDs internos y ve resumen previo y resultado en calendario. Se adopta como propuesta explicar la acción; eliminar definitivamente el formulario es alternativa indicada por el usuario, no una orden simultánea.";E2E-35;Pendiente de verificar;
OBS-19;OBS;Agenda;Horario, capacidad y sobrecarga;Observaciones:68-70;"Programar varios trabajos con horas específicas y arrastre; capacidad ordinaria de ocho horas por día, descuento de duración y bloqueo cuando no cabe; ofrecer siguiente día con capacidad comprobada.";"Asignar 5 h y 3 h deja 0 h; intentar otra hora se bloquea sin guardar; proponer siguiente día hábil con hueco y confirmar deja la orden allí. No mantener Asignar de todas formas como vía ordinaria.";E2E-22;Pendiente de verificar;
OBS-20;OBS;Producción;Área como filtro principal y flujo completo;Observaciones:72-74;"Priorizar filtro por área manteniendo estado como información; Aprobado → Bandeja → Iniciar → En proceso → Cerrar sesión → Lista → Entrega, con pausas y parciales cuando correspondan.";"Una orden multiárea se encuentra por cada área; cerrar una sesión incompleta no la entrega; el cierre completo habilita entrega y descarga de conformidad.";E2E-35;Pendiente de verificar;
OBS-21;OBS;Producción y archivo;Retirar terminadas del trabajo activo;Observaciones:75;Después de completar/entregar según el punto de archivo acordado, retirar de la cola de trabajo activa y conservar consulta histórica y conformidad descargable.;Entregar una orden deja el tablero operativo libre y permite recuperar pedido, sesiones, documentos y cuenta por cobrar desde historial. Interpretar quitar como archivar, no destruir evidencia.;E2E-23;Pendiente de verificar;
OBS-22;OBS;Cobranza;Visibilidad financiera desde aprobación;Observaciones:77-78;"La aprobación comercial crea o hace visible la orden y su registro financiero asociado inmediatamente; se puede entrar a su detalle sin duplicados.";"Aprobar una cotización muestra un registro en Cobranza con su estado financiero correcto; distinguir borrador visible de saldo ya exigible conforme al momento de activación acordado.";E2E-39;Pendiente de verificar;
OBS-23;OBS;Cobranza;Moneda de cobro y tipo de cambio;"Observaciones:79;85-87";"En MXN el TC queda en 1 y bloqueado; en USD se captura TC positivo en MXN por USD y se presenta la multiplicación, moneda original y equivalente aplicado.";"Un pago de USD 100 a TC 17.50 muestra MXN 1750; cambiar a MXN interpreta el monto como pesos y usa TC 1; si se ofrece convertir un monto existente, USD→MXN multiplica y MXN→USD divide, con confirmación del importe resultante.";E2E-39;Pendiente de verificar;
OBS-24;OBS;Cuentas;Cuenta destino/origen y referencias;"Observaciones:80-84;95";"Seleccionar cuenta en cobros y cuenta de salida en gastos; exponer catálogo en Configuración y reflejar movimientos en dashboard. Quitar referencia bancaria del formulario ordinario; preservar datos históricos y no confundir referencia con cuenta.";"Cobrar 1000 en Cuenta A y pagar gasto 300 desde A produce flujo registrado neto +700 en A; Cuenta B no cambia; retirar cuenta del uso futuro conserva la lectura del historial.";E2E-28;Pendiente de verificar;
OBS-25;OBS;Clientes y Cobranza;Saldo a favor visible y aplicable;Observaciones:88;"Mostrar saldo a favor en ficha del cliente y nueva columna en Cobranza, con origen y aplicaciones; si se utiliza para pagar otra orden, no registrarlo de nuevo como ingreso bancario.";"Cobrar 1200 sobre deuda 1000 deja deuda 0 y crédito 200; aplicar 150 a otra deuda deja crédito 50, disminuye esa deuda 150 y no altera otra vez las cuentas de caja/banco.";E2E-40;Pendiente de verificar;
OBS-26;OBS;Documentos de cobro;Proforma o comprobante de cobro;Observaciones:89-90;"Generar documento imprimible/descargable con datos del cliente, órdenes, total, importe abonado, saldo, fecha, moneda/TC y cuenta/método aplicable; precisar si se denomina proforma o recibo según momento.";"Registrar pago parcial de 400 sobre 1000 y obtener documento con total 1000, abonado 400 y pendiente 600; reabrir el documento conserva esos datos y su vínculo con la operación.";E2E-40;Pendiente de verificar;
OBS-27;OBS;Estado de cuenta;Consolidado imprimible y compartible;Observaciones:91-92;"Generar por cliente un estado de cuenta de múltiples órdenes con importes, pagos, saldos, vencimientos y días de atraso; permitir descargar/imprimir y preparar envío al destinatario elegido.";"Un cliente con cinco órdenes recibe en la previsualización exactamente esas cinco, sus saldos individuales y total conciliado; generar el archivo no significa que se haya enviado. Envío real solo tras acción autorizada del usuario.";E2E-27;Pendiente de verificar;
OBS-28;OBS;Gastos;Gasto con cuenta y selección de orden;"Observaciones:83;94-96";"El formulario de gasto muestra cuenta de salida y selector de órdenes con folio/cliente/descripción; conserva opción sin orden para gasto general y se refleja en el flujo de cuentas.";Registrar un gasto ligado a una OP y otro general, elegir cuenta en ambos, y comprobar asociación, saldo/flujo y desglose posterior sin introducir manualmente un ID de orden.;E2E-28;Pendiente de verificar;
OBS-29;OBS;Rentabilidad;Rentabilidad por orden y estación;Observaciones:99-101;"Comparar venta neta, horas estimadas/reales, tarifa de cada estación, materia prima consumida y gastos atribuibles; presentar costo total, utilidad y margen, con desglose y procedencia.";Venta neta 10000, material 3000, trabajo 2000 y otros costos 1000 produce costo 6000, utilidad 4000 y margen 40%. No duplicar material o mano de obra si ya están incluidos en un gasto vinculado.;E2E-41;Pendiente de verificar;
OBS-30;OBS;Cotizador y configuración;Parámetros completos del cotizador;Observaciones:105-106;Ubicar en Configuración los campos del cotizador identificados en el ZIP y las tarifas por estación necesarias para rentabilidad, con unidades y efecto claro sobre nuevos cálculos.;"Cambiar tarifa de una estación y realizar una nueva cotización muestra el efecto esperado; cotizaciones aceptadas e históricos conservan sus valores pactados. No inventar un anexo de campos que el texto no contiene.";E2E-41;Pendiente de verificar;
